Title1,Title2
Annual Recreation Visitation by Park Type or Region for: 2015 By Region,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Recreation%20Visitation%20Report%20by%20Park%20Type%20or%20Region%20(1979%20-%20Last%20Calendar%20Year)

Grouphead1,ParkNameGroupTitle,ParkTotal1,GroupHeadx,GroupHeadData1,ReportTotal1
Alaska Region,Aniakchak NM & PRES,153,Alaska Region Total,"2,664,293","307,247,252"
Alaska Region,Bering Land Bridge NPRES,"2,642",Alaska Region Total,"2,664,293","307,247,252"
Alaska Region,Cape Krusenstern NM,0,Alaska Region Total,"2,664,293","307,247,252"
Alaska Region,Denali NP & PRES,"560,757",Alaska Region Total,"2,664,293","307,247,252"
Alaska Region,Gates of the Arctic NP & PRES,"10,745",Alaska Region Total,"2,664,293","307,247,252"
Alaska Region,Glacier Bay NP & PRES,"551,353",Alaska Region Total,"2,664,293","307,247,252"
Alaska Region,Katmai NP & PRES,"37,818",Alaska Region Total,"2,664,293","307,247,252"
Alaska Region,Kenai Fjords NP,"296,697",Alaska Region Total,"2,664,293","307,247,252"
Alaska Region,Klondike Gold Rush NHP Alaska,"919,661",Alaska Region Total,"2,664,293","307,247,252"
Alaska Region,Kobuk Valley NP,0,Alaska Region Total,"2,664,293","307,247,252"
Alaska Region,Lake Clark NP & PRES,"17,818",Alaska Region Total,"2,664,293","307,247,252"
Alaska Region,Noatak NPRES,0,Alaska Region Total,"2,664,293","307,247,252"
Alaska Region,Sitka NHP,"185,150",Alaska Region Total,"2,664,293","307,247,252"
Alaska Region,Wrangell-St. Elias NP & PRES,"80,366",Alaska Region Total,"2,664,293","307,247,252"
Alaska Region,Yukon-Charley Rivers NPRES,"1,133",Alaska Region Total,"2,664,293","307,247,252"
Intermountain  Region,Alibates Flint Quarries NM,"9,492",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Amistad NRA,"1,250,051",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Arches NP,"1,399,247",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Aztec Ruins NM,"53,165",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Bandelier NM,"174,073",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Bent's Old Fort NHS,"26,219",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Big Bend NP,"381,747",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Big Thicket NPRES,"125,832",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Bighorn Canyon NRA,"245,173",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Black Canyon of the Gunnison NP,"209,166",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Bryce Canyon NP,"1,745,804",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Canyon de Chelly NM,"813,686",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Canyonlands NP,"634,607",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Capitol Reef NP,"941,029",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Capulin Volcano NM,"55,506",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Carlsbad Caverns NP,"445,720",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Casa Grande Ruins NM,"72,606",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Cedar Breaks NM,"793,601",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Chaco Culture NHP,"38,914",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Chamizal NMEM,"122,431",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Chickasaw NRA,"1,254,105",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Chiricahua NM,"56,960",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Colorado NM,"588,006",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Coronado NMEM,"132,584",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Curecanti NRA,"944,742",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Devils Tower NM,"478,833",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Dinosaur NM,"291,799",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,El Malpais NM,"174,433",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,El Morro NM,"49,390",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Florissant Fossil Beds NM,"69,130",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Fort Bowie NHS,"7,760",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Fort Davis NHS,"55,955",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Fort Laramie NHS,"51,616",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Fort Union NM,"11,726",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Fossil Butte NM,"19,293",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Gila Cliff Dwellings NM,"36,518",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Glacier NP,"2,366,056",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Glen Canyon NRA,"2,495,093",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Golden Spike NHS,"59,147",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Grand Canyon NP,"5,520,736",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Grand Teton NP,"3,149,921",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Grant-Kohrs Ranch NHS,"22,139",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Great Sand Dunes NP & PRES,"299,513",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Guadalupe Mountains NP,"169,535",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Hovenweep NM,"35,117",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Hubbell Trading Post NHS,"66,324",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,"John D. Rockefeller, Jr. MEM PKWY","1,430,337",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Lake Meredith NRA,"831,374",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Little Bighorn Battlefield NM,"317,782",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Lyndon B. Johnson NHP,"124,979",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Mesa Verde NP,"547,325",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Montezuma Castle NM,"416,635",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Natural Bridges NM,"94,797",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Navajo NM,"71,370",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Organ Pipe Cactus NM,"222,723",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Padre Island NS,"582,839",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Palo Alto Battlefield NHP,"47,866",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Pecos NHP,"30,229",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Petrified Forest NP,"793,225",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Petroglyph NM,"117,825",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Pipe Spring NM,"54,619",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Rainbow Bridge NM,"77,270",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Rio Grande W&SR,120,Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Rocky Mountain NP,"4,155,916",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Saguaro NP,"753,446",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Salinas Pueblo Missions NM,"29,672",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,San Antonio Missions NHP,"1,322,154",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Sand Creek Massacre NHS,"5,887",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Sunset Crater Volcano NM,"182,203",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Timpanogos Cave NM,"104,023",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Tonto NM,"37,523",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Tumacacori NHP,"42,146",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Tuzigoot NM,"95,065",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Waco Mammoth National Monument,"20,551",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Walnut Canyon NM,"153,322",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Washita Battlefield NHS,"12,067",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,White Sands NM,"497,506",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Wupatki NM,"212,828",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Yellowstone NP,"4,097,710",Intermountain  Region Total,"49,076,680","307,247,252"
Intermountain  Region,Zion NP,"3,648,846",Intermountain  Region Total,"49,076,680","307,247,252"
Midwest  Region,Agate Fossil Beds NM,"13,264",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Apostle Islands NL,"232,662",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Arkansas Post NMEM,"38,702",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Badlands NP,"989,354",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Brown v. Board of Education NHS,"25,338",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Buffalo NR,"1,463,304",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Charles Young Buffalo Soldiers NM,"3,993",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Cuyahoga Valley NP,"2,284,612",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Dayton Aviation Heritage NHP,"73,588",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Effigy Mounds NM,"81,901",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,First Ladies NHS,"12,897",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Fort Larned NHS,"32,170",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Fort Scott NHS,"25,531",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Fort Smith NHS,"111,469",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Fort Union Trading Post NHS,"13,605",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,George Rogers Clark NHP,"135,856",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,George Washington Carver NM,"37,745",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Grand Portage NM,"91,751",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Harry S Truman NHS,"32,825",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Herbert Hoover NHS,"127,154",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Homestead NM of America,"78,739",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Hopewell Culture NHP,"43,587",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Hot Springs NP,"1,418,162",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Indiana Dunes NL,"1,640,195",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Isle Royale NP,"18,684",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,James A. Garfield NHS,"24,506",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Jefferson NEM,"1,698,656",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Jewel Cave NM,"116,444",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Knife River Indian Villages NHS,"11,377",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Lincoln Boyhood NMEM,"111,711",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Lincoln Home NHS,"233,299",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Little Rock Central High School NHS,"125,956",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Minuteman Missile NHS,"100,488",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Mississippi NRRA,"127,635",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Missouri NRR,"145,004",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Mount Rushmore NMEM,"2,434,297",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Nicodemus NHS,"3,306",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Niobrara NSR,"68,110",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Ozark NSR,"1,277,941",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Pea Ridge NMP,"114,578",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Perry's Victory & Intl. Peace MEM,"156,578",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Pictured Rocks NL,"723,178",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Pipestone NM,"70,748",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,River Raisin NBP,"109,118",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Saint Croix NSR,"623,122",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Scotts Bluff NM,"131,122",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Sleeping Bear Dunes NL,"1,535,633",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Tallgrass Prairie NPRES,"29,558",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Theodore Roosevelt NP,"580,033",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Ulysses S. Grant NHS,"39,048",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Voyageurs NP,"238,313",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,William Howard Taft NHS,"24,385",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Wilson's Creek NB,"161,004",Midwest  Region Total,"20,654,434","307,247,252"
Midwest  Region,Wind Cave NP,"612,198",Midwest  Region Total,"20,654,434","307,247,252"
National Capital  Region,Antietam NB,"347,180",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Arlington House The R.E. Lee MEM,"532,050",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Catoctin Mountain Park,"229,301",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Chesapeake & Ohio Canal NHP,"4,798,312",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Clara Barton NHS,"2,823",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Ford's Theatre NHS,"681,537",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Fort Washington Park,"337,433",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Franklin Delano Roosevelt MEM,"3,290,080",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Frederick Douglass NHS,"53,873",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,George Washington MEM PKWY,"7,286,463",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Greenbelt Park,"135,260",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Harpers Ferry NHP,"282,893",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Korean War Veterans Memorial,"4,077,835",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,LBJ Memorial Grove on the Potomac,"232,882",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Lincoln Memorial,"7,941,771",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Manassas NBP,"502,045",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,"Martin Luther King, Jr. Memorial","3,530,401",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Mary McLeod Bethune Council House NHS,"8,249",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Monocacy NB,"64,596",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,National Capital Parks Central,"1,833,085",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,National Capital Parks East,"1,220,403",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Pennsylvania Avenue NHS,0,National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Piscataway Park,"148,729",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,President's Park,"903,161",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Prince William Forest Park,"312,109",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Rock Creek Park,"2,443,772",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Theodore Roosevelt Island,"159,740",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Thomas Jefferson MEM,"3,102,442",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Vietnam Veterans MEM,"5,597,077",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Washington Monument,"493,550",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,White House,"526,263",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,Wolf Trap NP for the Performing Arts,"407,351",National Capital  Region Total,"56,550,890","307,247,252"
National Capital  Region,World War II Memorial,"5,068,224",National Capital  Region Total,"56,550,890","307,247,252"
