Region,ParkNameGroupTitle,ParkTotal,RegionNameTotal,RegionTotal,ReportTotal1
Alaska Region,Aniakchak NM & PRES,153,Alaska Region Total,2664293,307247252
Alaska Region,Bering Land Bridge NPRES,2642,Alaska Region Total,2664293,307247252
Alaska Region,Cape Krusenstern NM,0,Alaska Region Total,2664293,307247252
Alaska Region,Denali NP & PRES,560757,Alaska Region Total,2664293,307247252
Alaska Region,Gates of the Arctic NP & PRES,10745,Alaska Region Total,2664293,307247252
Alaska Region,Glacier Bay NP & PRES,551353,Alaska Region Total,2664293,307247252
Alaska Region,Katmai NP & PRES,37818,Alaska Region Total,2664293,307247252
Alaska Region,Kenai Fjords NP,296697,Alaska Region Total,2664293,307247252
Alaska Region,Klondike Gold Rush NHP Alaska,919661,Alaska Region Total,2664293,307247252
Alaska Region,Kobuk Valley NP,0,Alaska Region Total,2664293,307247252
Alaska Region,Lake Clark NP & PRES,17818,Alaska Region Total,2664293,307247252
Alaska Region,Noatak NPRES,0,Alaska Region Total,2664293,307247252
Alaska Region,Sitka NHP,185150,Alaska Region Total,2664293,307247252
Alaska Region,Wrangell-St. Elias NP & PRES,80366,Alaska Region Total,2664293,307247252
Alaska Region,Yukon-Charley Rivers NPRES,1133,Alaska Region Total,2664293,307247252
Intermountain  Region,Alibates Flint Quarries NM,9492,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Amistad NRA,1250051,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Arches NP,1399247,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Aztec Ruins NM,53165,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Bandelier NM,174073,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Bent's Old Fort NHS,26219,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Big Bend NP,381747,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Big Thicket NPRES,125832,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Bighorn Canyon NRA,245173,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Black Canyon of the Gunnison NP,209166,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Bryce Canyon NP,1745804,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Canyon de Chelly NM,813686,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Canyonlands NP,634607,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Capitol Reef NP,941029,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Capulin Volcano NM,55506,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Carlsbad Caverns NP,445720,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Casa Grande Ruins NM,72606,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Cedar Breaks NM,793601,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Chaco Culture NHP,38914,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Chamizal NMEM,122431,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Chickasaw NRA,1254105,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Chiricahua NM,56960,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Colorado NM,588006,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Coronado NMEM,132584,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Curecanti NRA,944742,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Devils Tower NM,478833,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Dinosaur NM,291799,Intermountain  Region Total,49076680,307247252
Intermountain  Region,El Malpais NM,174433,Intermountain  Region Total,49076680,307247252
Intermountain  Region,El Morro NM,49390,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Florissant Fossil Beds NM,69130,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Fort Bowie NHS,7760,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Fort Davis NHS,55955,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Fort Laramie NHS,51616,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Fort Union NM,11726,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Fossil Butte NM,19293,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Gila Cliff Dwellings NM,36518,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Glacier NP,2366056,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Glen Canyon NRA,2495093,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Golden Spike NHS,59147,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Grand Canyon NP,5520736,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Grand Teton NP,3149921,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Grant-Kohrs Ranch NHS,22139,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Great Sand Dunes NP & PRES,299513,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Guadalupe Mountains NP,169535,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Hovenweep NM,35117,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Hubbell Trading Post NHS,66324,Intermountain  Region Total,49076680,307247252
Intermountain  Region,"John D. Rockefeller, Jr. MEM PKWY",1430337,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Lake Meredith NRA,831374,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Little Bighorn Battlefield NM,317782,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Lyndon B. Johnson NHP,124979,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Mesa Verde NP,547325,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Montezuma Castle NM,416635,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Natural Bridges NM,94797,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Navajo NM,71370,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Organ Pipe Cactus NM,222723,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Padre Island NS,582839,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Palo Alto Battlefield NHP,47866,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Pecos NHP,30229,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Petrified Forest NP,793225,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Petroglyph NM,117825,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Pipe Spring NM,54619,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Rainbow Bridge NM,77270,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Rio Grande W&SR,120,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Rocky Mountain NP,4155916,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Saguaro NP,753446,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Salinas Pueblo Missions NM,29672,Intermountain  Region Total,49076680,307247252
Intermountain  Region,San Antonio Missions NHP,1322154,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Sand Creek Massacre NHS,5887,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Sunset Crater Volcano NM,182203,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Timpanogos Cave NM,104023,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Tonto NM,37523,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Tumacacori NHP,42146,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Tuzigoot NM,95065,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Waco Mammoth National Monument,20551,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Walnut Canyon NM,153322,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Washita Battlefield NHS,12067,Intermountain  Region Total,49076680,307247252
Intermountain  Region,White Sands NM,497506,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Wupatki NM,212828,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Yellowstone NP,4097710,Intermountain  Region Total,49076680,307247252
Intermountain  Region,Zion NP,3648846,Intermountain  Region Total,49076680,307247252
Midwest  Region,Agate Fossil Beds NM,13264,Midwest  Region Total,20654434,307247252
Midwest  Region,Apostle Islands NL,232662,Midwest  Region Total,20654434,307247252
Midwest  Region,Arkansas Post NMEM,38702,Midwest  Region Total,20654434,307247252
Midwest  Region,Badlands NP,989354,Midwest  Region Total,20654434,307247252
Midwest  Region,Brown v. Board of Education NHS,25338,Midwest  Region Total,20654434,307247252
Midwest  Region,Buffalo NR,1463304,Midwest  Region Total,20654434,307247252
Midwest  Region,Charles Young Buffalo Soldiers NM,3993,Midwest  Region Total,20654434,307247252
Midwest  Region,Cuyahoga Valley NP,2284612,Midwest  Region Total,20654434,307247252
Midwest  Region,Dayton Aviation Heritage NHP,73588,Midwest  Region Total,20654434,307247252
Midwest  Region,Effigy Mounds NM,81901,Midwest  Region Total,20654434,307247252
Midwest  Region,First Ladies NHS,12897,Midwest  Region Total,20654434,307247252
Midwest  Region,Fort Larned NHS,32170,Midwest  Region Total,20654434,307247252
Midwest  Region,Fort Scott NHS,25531,Midwest  Region Total,20654434,307247252
Midwest  Region,Fort Smith NHS,111469,Midwest  Region Total,20654434,307247252
Midwest  Region,Fort Union Trading Post NHS,13605,Midwest  Region Total,20654434,307247252
Midwest  Region,George Rogers Clark NHP,135856,Midwest  Region Total,20654434,307247252
Midwest  Region,George Washington Carver NM,37745,Midwest  Region Total,20654434,307247252
Midwest  Region,Grand Portage NM,91751,Midwest  Region Total,20654434,307247252
Midwest  Region,Harry S Truman NHS,32825,Midwest  Region Total,20654434,307247252
Midwest  Region,Herbert Hoover NHS,127154,Midwest  Region Total,20654434,307247252
Midwest  Region,Homestead NM of America,78739,Midwest  Region Total,20654434,307247252
Midwest  Region,Hopewell Culture NHP,43587,Midwest  Region Total,20654434,307247252
Midwest  Region,Hot Springs NP,1418162,Midwest  Region Total,20654434,307247252
Midwest  Region,Indiana Dunes NL,1640195,Midwest  Region Total,20654434,307247252
Midwest  Region,Isle Royale NP,18684,Midwest  Region Total,20654434,307247252
Midwest  Region,James A. Garfield NHS,24506,Midwest  Region Total,20654434,307247252
Midwest  Region,Jefferson NEM,1698656,Midwest  Region Total,20654434,307247252
Midwest  Region,Jewel Cave NM,116444,Midwest  Region Total,20654434,307247252
Midwest  Region,Knife River Indian Villages NHS,11377,Midwest  Region Total,20654434,307247252
Midwest  Region,Lincoln Boyhood NMEM,111711,Midwest  Region Total,20654434,307247252
Midwest  Region,Lincoln Home NHS,233299,Midwest  Region Total,20654434,307247252
Midwest  Region,Little Rock Central High School NHS,125956,Midwest  Region Total,20654434,307247252
Midwest  Region,Minuteman Missile NHS,100488,Midwest  Region Total,20654434,307247252
Midwest  Region,Mississippi NRRA,127635,Midwest  Region Total,20654434,307247252
Midwest  Region,Missouri NRR,145004,Midwest  Region Total,20654434,307247252
Midwest  Region,Mount Rushmore NMEM,2434297,Midwest  Region Total,20654434,307247252
Midwest  Region,Nicodemus NHS,3306,Midwest  Region Total,20654434,307247252
Midwest  Region,Niobrara NSR,68110,Midwest  Region Total,20654434,307247252
Midwest  Region,Ozark NSR,1277941,Midwest  Region Total,20654434,307247252
Midwest  Region,Pea Ridge NMP,114578,Midwest  Region Total,20654434,307247252
Midwest  Region,Perry's Victory & Intl. Peace MEM,156578,Midwest  Region Total,20654434,307247252
Midwest  Region,Pictured Rocks NL,723178,Midwest  Region Total,20654434,307247252
Midwest  Region,Pipestone NM,70748,Midwest  Region Total,20654434,307247252
Midwest  Region,River Raisin NBP,109118,Midwest  Region Total,20654434,307247252
Midwest  Region,Saint Croix NSR,623122,Midwest  Region Total,20654434,307247252
Midwest  Region,Scotts Bluff NM,131122,Midwest  Region Total,20654434,307247252
Midwest  Region,Sleeping Bear Dunes NL,1535633,Midwest  Region Total,20654434,307247252
Midwest  Region,Tallgrass Prairie NPRES,29558,Midwest  Region Total,20654434,307247252
Midwest  Region,Theodore Roosevelt NP,580033,Midwest  Region Total,20654434,307247252
Midwest  Region,Ulysses S. Grant NHS,39048,Midwest  Region Total,20654434,307247252
Midwest  Region,Voyageurs NP,238313,Midwest  Region Total,20654434,307247252
Midwest  Region,William Howard Taft NHS,24385,Midwest  Region Total,20654434,307247252
Midwest  Region,Wilson's Creek NB,161004,Midwest  Region Total,20654434,307247252
Midwest  Region,Wind Cave NP,612198,Midwest  Region Total,20654434,307247252
National Capital  Region,Antietam NB,347180,National Capital  Region Total,56550890,307247252
National Capital  Region,Arlington House The R.E. Lee MEM,532050,National Capital  Region Total,56550890,307247252
National Capital  Region,Catoctin Mountain Park,229301,National Capital  Region Total,56550890,307247252
National Capital  Region,Chesapeake & Ohio Canal NHP,4798312,National Capital  Region Total,56550890,307247252
National Capital  Region,Clara Barton NHS,2823,National Capital  Region Total,56550890,307247252
National Capital  Region,Ford's Theatre NHS,681537,National Capital  Region Total,56550890,307247252
National Capital  Region,Fort Washington Park,337433,National Capital  Region Total,56550890,307247252
National Capital  Region,Franklin Delano Roosevelt MEM,3290080,National Capital  Region Total,56550890,307247252
National Capital  Region,Frederick Douglass NHS,53873,National Capital  Region Total,56550890,307247252
National Capital  Region,George Washington MEM PKWY,7286463,National Capital  Region Total,56550890,307247252
National Capital  Region,Greenbelt Park,135260,National Capital  Region Total,56550890,307247252
National Capital  Region,Harpers Ferry NHP,282893,National Capital  Region Total,56550890,307247252
National Capital  Region,Korean War Veterans Memorial,4077835,National Capital  Region Total,56550890,307247252
National Capital  Region,LBJ Memorial Grove on the Potomac,232882,National Capital  Region Total,56550890,307247252
National Capital  Region,Lincoln Memorial,7941771,National Capital  Region Total,56550890,307247252
National Capital  Region,Manassas NBP,502045,National Capital  Region Total,56550890,307247252
National Capital  Region,"Martin Luther King, Jr. Memorial",3530401,National Capital  Region Total,56550890,307247252
National Capital  Region,Mary McLeod Bethune Council House NHS,8249,National Capital  Region Total,56550890,307247252
National Capital  Region,Monocacy NB,64596,National Capital  Region Total,56550890,307247252
National Capital  Region,National Capital Parks Central,1833085,National Capital  Region Total,56550890,307247252
National Capital  Region,National Capital Parks East,1220403,National Capital  Region Total,56550890,307247252
National Capital  Region,Pennsylvania Avenue NHS,0,National Capital  Region Total,56550890,307247252
National Capital  Region,Piscataway Park,148729,National Capital  Region Total,56550890,307247252
National Capital  Region,President's Park,903161,National Capital  Region Total,56550890,307247252
National Capital  Region,Prince William Forest Park,312109,National Capital  Region Total,56550890,307247252
National Capital  Region,Rock Creek Park,2443772,National Capital  Region Total,56550890,307247252
National Capital  Region,Theodore Roosevelt Island,159740,National Capital  Region Total,56550890,307247252
National Capital  Region,Thomas Jefferson MEM,3102442,National Capital  Region Total,56550890,307247252
National Capital  Region,Vietnam Veterans MEM,5597077,National Capital  Region Total,56550890,307247252
National Capital  Region,Washington Monument,493550,National Capital  Region Total,56550890,307247252
National Capital  Region,White House,526263,National Capital  Region Total,56550890,307247252
National Capital  Region,Wolf Trap NP for the Performing Arts,407351,National Capital  Region Total,56550890,307247252
National Capital  Region,World War II Memorial,5068224,National Capital  Region Total,56550890,307247252
Northeast  Region,Acadia NP,2811184,Northeast  Region Total,53642665,307247252
